Breeder ID,Animal ID,Age,Section Key,Breeder ID,Animal ID,Sex,Age,Date of Surgery,Ab,animal_id
W(26),F3,P17,B07,W(26),F3,Female,P15,12/8/2022,a-CSF1,B07
W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1,B11
W(28),F1.1,P17,B24,W(28),F1,Female,P15,1/11/2023,a-CSF1,B24
W(25),F1.1,P17,B26,W(25)-3,F1,Female,P15,1/10/2023,a-CSF1,B26
W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30
W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120,B02
W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120,B12
W(26),F1,P17,B23,W(26),F1,Female,P15,12/8/2022,a-gp120,B23
W(28),F3.1,P17,B27,W(28),F3,Female,P15,1/11/2023,a-gp120,B27
W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29
W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34,B01
W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34,B10
W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14
W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28
W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32
W(25),M3,P17,B05,W(25),M3,Male,P15,12/10/2022,a-CSF1,B05
W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1,B06
W(27),M4,P17,B15,W(27),M4,Male,P15,12/20/2022,a-CSF1,B15
W(22),M2,P17,B18,W(22),M2,Male,P15,12/18/2022,a-CSF1,B18
W(28),M1.1,P17,B25,W(28),M1,Male,P15,1/11/2023,a-CSF1,B25
W(26),M1,P17,B04,W(26),M1,Male,P15,12/8/2022,a-gp120,B04
W(22),M1,P17,B13,W(22),M1,Male,P15,12/18/2022,a-gp120,B13
W(27),M1,P17,B16,W(27),M1,Male,P15,12/20/2022,a-gp120,B16
W(25),M2,P17,B20,W(25),M2,Male,P15,12/10/2022,a-gp120,B20
W(25),M1,P17,B22,W(25),M1,Male,P15,12/10/2022,a-gp120,B22
W(25),M4,P17,B03,W(25),M4,Male,P15,12/10/2022,a-IL34,B03
W(22),M3,P17,B08,W(22),M3,Male,P15,12/18/2022,a-IL34,B08
W(27),M2,P17,B09,W(27),M2,Male,P15,12/20/2022,a-IL34,B09
W(27),M3,P17,B17,W(27),M3,Male,P15,12/20/2022,a-IL34,B17
W(26),M2,P17,B19,W(26),M2,Male,P15,12/8/2022,a-IL34,B19
W(22),M4,P17,B21,W(22),M4,Male,P15,12/18/2022,a-IL34,B21
